referrer,views_total,views_unique
Google,181,95
Bing,65,22
github.com,33,23
DuckDuckGo,26,19
yandex.ru,14,6
search.brave.com,12,7
yandex.by,12,1
qwant.com,4,2
Yahoo,4,1
perplexity.ai,4,1
