time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,48,13,15,13
2026-06-21 00:00:00+00:00,18,8,26,17
2026-06-22 00:00:00+00:00,33,9,12,7
2026-06-23 00:00:00+00:00,49,15,17,12
2026-06-24 00:00:00+00:00,17,7,14,10
2026-06-25 00:00:00+00:00,21,6,15,9
2026-06-26 00:00:00+00:00,16,7,5,4
2026-06-27 00:00:00+00:00,13,6,12,8
2026-06-28 00:00:00+00:00,16,5,19,9
2026-06-29 00:00:00+00:00,15,10,11,8
2026-06-30 00:00:00+00:00,20,7,12,9
2026-07-01 00:00:00+00:00,2,2,10,6
2026-07-02 00:00:00+00:00,10,5,10,10
2026-07-03 00:00:00+00:00,16,7,9,9
