referrer,views_total,views_unique
Google,156,68
Bing,27,15
github.com,23,17
DuckDuckGo,14,10
search.brave.com,6,4
yandex.ru,5,3
px4ai.com,2,2
Yahoo,1,1
chatgpt.com,1,1
ya.ru,1,1
