referrer,views_total,views_unique
Google,237,111
github.com,44,26
Bing,37,20
yandex.ru,30,7
DuckDuckGo,17,13
search.brave.com,16,7
Yahoo,6,4
chatgpt.com,3,1
px4ai.com,2,2
perplexity.ai,2,1
