referrer,views_total,views_unique
Google,218,107
Bing,52,25
search.brave.com,19,9
github.com,17,11
DuckDuckGo,15,11
yandex.ru,6,3
chatgpt.com,6,2
perplexity.ai,4,1
px4ai.com,2,2
qwant.com,1,1
