time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,21,6,15,9
2026-06-26 00:00:00+00:00,16,7,5,4
2026-06-27 00:00:00+00:00,13,6,12,8
2026-06-28 00:00:00+00:00,16,5,19,9
2026-06-29 00:00:00+00:00,15,10,11,8
2026-06-30 00:00:00+00:00,20,7,12,9
2026-07-01 00:00:00+00:00,2,2,10,6
2026-07-02 00:00:00+00:00,10,5,10,10
2026-07-03 00:00:00+00:00,16,7,9,9
2026-07-04 00:00:00+00:00,17,8,12,10
2026-07-05 00:00:00+00:00,18,8,30,13
2026-07-06 00:00:00+00:00,21,7,15,12
2026-07-07 00:00:00+00:00,42,16,5,4
2026-07-08 00:00:00+00:00,10,4,5,4
