referrer,views_total,views_unique
Google,186,96
Bing,46,18
github.com,31,23
DuckDuckGo,23,18
yandex.by,12,1
search.brave.com,7,5
yandex.ru,7,3
perplexity.ai,7,1
emalliab.wordpress.com,2,1
chatgpt.com,1,1
