referrer,views_total,views_unique
Google,189,102
Bing,70,22
github.com,34,21
DuckDuckGo,22,15
search.brave.com,13,6
yandex.ru,11,5
Yahoo,7,2
qwant.com,4,2
ya.ru,3,3
chatgpt.com,2,2
